brand,dispensary,name,type,description,thc,cbd,size,price,image
Quatreau,"['Sessions Cannabis - North York', 'Marley Natural', 'Tokyo Smoke - 333 Yonge St']",Passionfruit & Guava Sparkling Water,Drinks,Quatreau Passionfruit & Guava is a deliciously refreshing cannabis-infused sparkling water beverage. With 20 mg of CBD it’s a satisfying and delightful choice. Quatreau is about taking back me time. About making situations a little more simple.,,,Each,$6.00,https://images.weedmaps.com/products/000/207/966/avatar/1608126011-Screen_Shot_2020-12-16_at_8.39.11_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Being Cannabis,"['Wonder Pot', 'Wonder Pot', 'Wonder Pot']",THC Oral Strips,Edibles,"Being Fast Acting Oral THC QuickStrip™ is a smoke-free cannabis alternative that delivers more cannabinoids per equivalent dose, faster, than other non-combustible formats. Each QuickStrip delivers cannabinoids rapidly by micronizing cannabis oils and suspending them evenly in a thin film. And when dissolved under the tongue each THC QuickStrip delivers its cannabinoids with greater impact than edibles, oils or capsules containing similar amounts of THC because it bypasses the digestive system. Being strips can easily be torn into smaller segments for micro-dosing. Sold in pouches of 10 strips (10 mg THC ea), with each strip hermetically sealed in individual wrappers for perfect portability. Being strips are nut-free, and contain no animal products. Naturally flavoured with peppermint oil.",,,Each,$39.97,https://images.weedmaps.com/products/000/267/733/avatar/1622564293-0bab7b99-42fa-4e7b-8429-2a10b6c708fa.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Mood Ring,['Cori - Queen St W'],Balanced 15:15 Oil,Tincture,"Containing equal amounts of THC and CBD, it brings the best of both worlds together in perfect harmony. Want to lift your spirits but stay on the ground? Party but not too much? We hear you. Mood Ring Balanced 15:15 Oil is just the thing for those special win-win situations.

What’s in it? Nothing but the best and simplest ingredients—450mg each of THC and CBD, blended with organic extra virgin olive oil. We use our patented cold ethanol extraction process to create a full spectrum concentrate that preserves the terpene profile of the plant and provides a natural, earthy aroma and flavour. 

On top of all that awesomeness, Mood Ring Balanced 15:15 Oil is vegan-friendly, non-GMO and packaged in an eco-friendly glass bottle. And every time you make a purchase, we contribute to the planting of a tree thanks to our partnership with One Tree Planted. Nice, right? ",,,Each,$28.45,https://images.weedmaps.com/products/000/343/733/avatar/1643312233-mr_wm_balanced_oil_floating.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Greybeard Cannabis,['Little House Cannabis - 307 Wellesley St E'],KISH Terp Slush,Live Resin,"Greybeard Live Resin Terp Slush is an elevated version of the ever-popular HTFSE (High-Terpene Full-Spectrum Extract), carefully made from cannabis grown outdoors. As they harvest, the crop is flash-frozen to seal in the cannabinoids and terpenes until they are ready to be extracted through their hydrocarbon process, resulting in highly aromatic and flavourful concentrates.
Kish is an Ontario original, a brilliant outdoor grower with outstanding terp levels and bulging trichomes, this strain is a renegade mix of DJ Short, Blueberry and Afghani.
Once the top colas of the 2019 outdoor-grown Kish hit 19.5% THC and a terpene content of over 5% in the field, they topped those trees and immediately froze them to lock it all in.
Kish Terp Slush gives off notes of raspberry, mango, and pine, with a strong hit of sweet Orange at the finish. Greybeard Live Resin Terp Slush also has a wonderfully granular consistency that makes it a breeze to use in dab rigs and pens.",74.5% ,,1 g,$60.99,https://images.weedmaps.com/products/000/205/145/avatar/1607629515-Screen_Shot_2020-12-10_at_2.44.29_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Twd.28,['Little House Cannabis - 307 Wellesley St E'],Twd.28 Blue Dream,Flower,"A sativa-dominant hybrid strain. Its buds are complemented by an orange hue and a complex aroma. Some associate skunky, floral, and sweet flavours with the Twd.28 Blue Dream strain.",18% ,0.5% ,1 oz,$119.99,https://images.weedmaps.com/products/000/261/858/avatar/1643139010-101635_2.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Houseplant Canada,['Little House Cannabis - 307 Wellesley St E'],HP Indica PRJ - 91 Krypt,Pre Roll,"2 x 0.5g Pre-Rolls
Houseplant Indica is a high-THC and low-CBD strain selected from a series of unique phenotypes of Kush origin. Its pungent aroma is complemented with earthy, floral, and musky notes, thanks to the terpenes caryophyllene, and limonene.",22% ,16mg ,Each,$10.99,https://images.weedmaps.com/products/000/281/358/avatar/1626882101-2pack_prerolled_bottle_indica_wb.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Twd.28,['Little House Cannabis - 307 Wellesley St E'],Twd.28 Indica,Infused Flower,"Twd.28 Indica™ is 28 grams of indica bud with lots of THC (17-23%) and little-to-no CBD (<0.1%). 

High THC, low CBD: it's that simple.",20% ,,1 oz,$107.99,https://images.weedmaps.com/products/000/261/857/avatar/1643138970-101411_2.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['BUDSSMOKE - Burlington', 'Little House Cannabis - 307 Wellesley St E', 'Matchbox Cannabis - Rogers Rd']",Wana Sour Gummies Pomegranate Blueberry Acai 5:1,Gummies,"Pucker up with Pomegranate Blueberry Acai Wana Sour Gummies and their slightly acidic, juicy flavour; handcrafted with pectin and a terpene-enhanced distillate. 50 mg CBD and 10 mg THC per package.",,,Each,$6.99,https://images.weedmaps.com/products/000/260/664/avatar/1620238888-1200px-x-1200px-pomegranate.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Pearls,"['Erbn Green Cannabis Co - Dundas W', 'Mota Toke', 'Red Rock Cannabis Co']",Blackberry Lemonade 1:1:1 CBN/CBD/THC,Gummies,"Turn any night into a dream with Blackberry Lemonade Pearls. Infused with equal parts CBN, CBD, and THC, each sugar-coated pearl gives your tastebuds a tart pucker of blackberry lemonade and contains 2 mg of CBN, 2 mg of CBD, and 2 mg of THC. Pearls are bursting with natural flavour, and coated in sugar for a sweet treat no matter where you are. Bring them on the go, enjoy them with friends, or indulge in a night in by yourself because Pearls go with everything. 5 gummies per pack.",10mg ,,Each,$4.95,https://images.weedmaps.com/products/000/401/794/avatar/1658506821-pearls-blackberrylemonade-branded-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Being Cannabis,['Wonder Pot'],CBD Oral Strips,Edibles,"Being Fast Acting Oral CBD QuickStrip™ is a smoke-free cannabis alternative that can deliver more cannabinoids per equivalent dose, faster, than other non-combustible formats. Each QuickStrip delivers cannabinoids rapidly by micronizing cannabis oils and suspending them evenly in a thin film. And when dissolved under the tongue each CBD QuickStrip may deliver its cannabinoids with greater impact than edibles, oils or capsules containing similar amounts of CBD because it bypasses the digestive system. Being strips can easily be torn into smaller segments for micro-dosing. Sold in pouches of 10 strips (with each strip hermetically sealed in individual wrappers for perfect portability. Being strips are, nut-free, and contain no animal products. Naturally flavoured with peppermint oil.",,25.3% ,Each,$39.97,https://images.weedmaps.com/products/000/267/734/avatar/1622564331-f12b75f7-a2f4-4d73-9971-213fa97000b2.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Bhang Canada,"['BUDSSMOKE - Burlington', 'Ambrosia Cannabis Emporium', 'Wonder Pot']",THC Cookies & Cream White Chocolate,Chocolates,"Bhang® THC Cookies and Cream White Chocolate blends gourmet white chocolate with crunchy chocolate cookie bits. This bar contains 10 mg of THC and is scored into four pieces.

Ingredients:
White chocolate (sugar, cocoa butter, milk powder, lactose, sunflower lecithin, natural vanilla flavour, vanilla beans), Chocolate wafers [sugars (sugar, tapioca syrup), pea starch, palm oil, potato starch, rice flour, cocoa powder, tapioca starch, water, pea protein, salt, pea fibre, natural flavour, inulin, sunflower lecithin, sodium bicarbonate, modified cellulose], Cocoa butter, Cannabis extract. (contains Milk, May Contain Eggs)",,4mg ,Each,$5.57,https://images.weedmaps.com/products/000/271/675/avatar/1623870578-bhang-thc-cookies_-cream-branded_bkgrnd_1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Houseplant Canada,['Wonder Pot'],HP Lime Sparkling Water,Drinks,"Houseplant Lime is a refreshing and naturally flavoured cannabis-infused sparkling water with sativa-dominant THC distillate. With a subtle hint of lime and the perfect amount of bubbles, this citrusy sparkling water is best enjoyed chilled or over ice.",,10% ,Each,$5.57,https://images.weedmaps.com/products/000/281/361/avatar/1626882051-vanity_lime_noshadow.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Bhang Canada,"['Ambrosia Cannabis Emporium', 'Matchbox Cannabis - Rogers Rd', 'Wonder Pot']",THC Milk Chocolate,Chocolates,"Bhang® THC Milk Chocolate combines rich 48% cocoa and THC, scored into four pieces perfect for sharing. Enjoy the cannabis-free flavour of this creamy milk chocolate with the right amount of sweetness and 10 mg THC per bar. Bhang® didn’t create cannabis chocolate, they just perfected it. 

Ingredients:
Sugar, bittersweet chocolate, whole milk powder, cocoa butter, lecithin, vanilla, cannabis distillate",,10mg ,Each,$5.57,https://images.weedmaps.com/products/000/271/661/avatar/1623869404-10_-_thc_milk_-_1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
